Squad,Poss,Shots,GCA,Final Third,Tackles,Press,Blocks,Int,Pass,# Pl,Age
Arsenal,54,401,86,1121,601,6127,614,244,16349,29,25.8
Aston Villa,43.9,453,67,891,606,5837,725,254,11530,28,25.7
Bournemouth,43.8,384,57,900,559,6790,703,288,11943,27,25.2
Brighton,52.2,456,58,1091,663,5794,631,299,15696,25,26.4
Burnley,41.4,384,64,778,583,5802,712,252,9925,22,28
Chelsea,60.7,619,110,1482,739,6197,576,268,20665,27,25.5
Crystal Palace,44.5,372,50,861,733,6252,675,277,12142,25,29.4
Everton,49.2,465,63,1033,739,6067,588,279,13239,24,25.5
Leicester City,57.6,533,110,1237,781,6392,601,309,17329,24,26.1
Liverpool,63.4,585,136,1734,606,5638,481,246,20887,24,26.6
Manchester City,66.9,730,168,1916,567,5003,444,227,24266,24,26.9
Manchester Utd,56.2,528,101,1362,618,5860,632,300,17542,29,24.8
Newcastle Utd,38.6,397,61,762,672,5994,638,293,10500,28,26.5
Norwich City,49.3,409,38,881,716,6492,713,270,14610,30,26
Sheffield Utd,43.1,353,55,995,652,6367,618,260,12052,26,26.9
Southampton,49.3,497,71,982,791,6825,693,295,12482,25,25.9
Tottenham,52.2,439,84,1142,709,6209,660,259,15794,29,26.7
Watford,42.5,410,53,889,681,6798,621,313,11208,26,28.9
West Ham,44,414,82,972,720,6464,633,291,12388,29,27.4
Wolves,48.3,453,83,1015,716,6251,608,263,14072,21,26.6
